IGHJ5	236	450	0	0	0.524444444444444
BACH2	11	1239	0	0	0.00887812752219532
IGHJ2P	47	113	0	0	0.415929203539823
IGHJ4	161	308	0	0	0.522727272727273
IGHJ3	80	148	0	0	0.540540540540541
AL122127.4	67	606	0	0	0.110561056105611
AL122127.5	76	989	0	0	0.076845298281092
AL122127.2	76	933	0	0	0.0814576634512326
AL122127.3	90	223	0	0	0.403587443946188
AL122127.1	71	687	0	0	0.10334788937409
IGHJ3P	300	594	0	0	0.505050505050505
hsa-mir-4539	76	1002	0	0	0.0758483033932136
hsa-mir-4537	118	411	0	0	0.287104622871046
hsa-mir-4538	73	746	0	0	0.0978552278820375
BCL6	8	1343	1.11022302462516e-16	6.59472476627343e-14	0.00595681310498883
IGHJ6	308	686	1.11022302462516e-16	6.59472476627343e-14	0.448979591836735
BCL2	8	1681	2.22044604925031e-16	1.31450406115619e-13	0.00475907198096371
IGLV3-1	4	116	9.81437153768638e-14	5.80029357877265e-11	0.0344827586206897
KLHL6	3	214	6.67796928865982e-11	3.9400018803093e-08	0.014018691588785
RP11-211G3.2	4	724	1.53131951563523e-10	9.01947194709152e-08	0.00552486187845304
IGHM	10	1042	3.91334520344344e-10	2.30104697962474e-07	0.00959692898272553
EXOSC9	3	254	1.45693634934219e-08	8.55221637063863e-06	0.0118110236220472
SYVN1	3	1203	1.01755499581913e-07	5.96287227550008e-05	0.00249376558603491
SEL1L3	3	1311	2.53078569434351e-07	0.000148050963119095	0.0022883295194508
hsa-mir-5571	2	229	3.50430894635601e-07	0.000204651642467191	0.00873362445414847
GPBAR1	1	55	7.4223551183028e-07	0.000432723303397053	0.0181818181818182
DHTKD1	2	446	9.8679273363711e-07	0.000574313370976798	0.00448430493273543
RN7SKP13	1	19	2.56001841281162e-06	0.00148737069784355	0.0526315789473684
OSTN-AS1	1	37	3.09304303314217e-06	0.00179396495922246	0.027027027027027
ABCC5-AS1	1	156	5.57887416552383e-06	0.0032301681418383	0.00641025641025641
ZNF877P	2	612	6.37081175203225e-06	0.00368232919267464	0.00326797385620915
IGLV3-10	1	77	7.2504233435966e-06	0.00418349426925524	0.012987012987013
EEF1A1P30	1	97	7.59489291335402e-06	0.00437465831809192	0.0103092783505155
RPL10A	2	770	7.9822146716868e-06	0.00458977343621991	0.0025974025974026
STK24-AS1	2	1335	1.03576573509123e-05	0.00594529531942367	0.00149812734082397
RP11-428G5.5	1	145	1.05642791065064e-05	0.00605333192802815	0.00689655172413793
RNU7-3P	1	129	1.11909329757465e-05	0.00640121366212698	0.00775193798449612
TFPT	2	859	1.12408548118559e-05	0.00641852809756971	0.00232828870779977
IGLV1-41	1	141	1.18852078020426e-05	0.00677456844716429	0.00709219858156028
CST11	2	935	1.19876621570425e-05	0.00682097976735718	0.00213903743315508
IGLC1	1	87	1.25216975875864e-05	0.00711232422974906	0.0114942528735632
CTSS	1	224	1.28688332466931e-05	0.00729662845087498	0.00446428571428571
CTB-184G21.3	1	245	1.32635305127859e-05	0.00750715827023685	0.00408163265306122
CTD-2526A2.6	1	179	1.44853485664065e-05	0.00818422194001966	0.00558659217877095
STK24	2	1512	1.56697109645609e-05	0.00883771698401237	0.00132275132275132
C2CD4B	1	75	1.62042936228124e-05	0.00912301730964338	0.0133333333333333
CASP10	1	168	1.7565075264403e-05	0.00987157229859448	0.00595238095238095
SMIM20	2	1083	1.97751303154803e-05	0.0110938481069844	0.00184672206832872
GPA33	1	201	1.98079195525835e-05	0.0110938481069844	0.00497512437810945
IGLJ1	1	120	2.21276573899587e-05	0.0123693604809869	0.00833333333333333
RP11-474G23.3	2	1268	2.21283129862027e-05	0.0123693604809869	0.00157728706624606
RP1-17K7.3	1	76	2.22661233458821e-05	0.0124022307036563	0.0131578947368421
ZKSCAN3	1	167	2.24835711331028e-05	0.0125008655500052	0.00598802395209581
ZNF286B	1	159	2.53050452170278e-05	0.0140443000954504	0.00628930817610063
HAS2-AS1	2	426	2.57533718592828e-05	0.0142673680100427	0.00469483568075117
PSORS1C3	1	290	2.58094593883484e-05	0.0142726310417567	0.00344827586206897
CTBP2P6	1	94	2.64780731138448e-05	0.0146158963588423	0.0106382978723404
PPP3R1	2	1389	2.94062657930638e-05	0.0162028524519782	0.00143988480921526
MIR3163	1	285	3.17451586787643e-05	0.0174598372733203	0.00350877192982456
TMEM71	1	130	3.23529530532607e-05	0.0177617712262401	0.00769230769230769
GOLPH3L	1	330	3.34502037647733e-05	0.0183307116630957	0.00303030303030303
RP11-432J24.5	1	96	3.45474376289845e-05	0.0188974483830545	0.0104166666666667
RNU6-924P	1	232	3.69020760339067e-05	0.0201485335145131	0.00431034482758621
IGLV7-43	1	238	3.79553983014258e-05	0.0206856920742771	0.00420168067226891
PRPF31	2	1311	3.87165256469091e-05	0.0210617899519185	0.0015255530129672
ZNRF3-AS1	1	225	4.00955787963619e-05	0.0217718992864245	0.00444444444444444
AC104024.1	1	233	4.08304866640341e-05	0.0221301237719065	0.00429184549356223
SPRYD4	1	321	4.09297869974345e-05	0.0221430147656121	0.00311526479750779
RNU6-760P	1	190	4.16757052841277e-05	0.0225048808534289	0.00526315789473684
FLJ00418	1	302	4.1920100722459e-05	0.0225949342894054	0.0033112582781457
CXCR3	1	284	4.53429185914844e-05	0.0243944902022186	0.00352112676056338
RNA5SP242	1	232	4.56669925422704e-05	0.0245231749951992	0.00431034482758621
RNA5SP243	1	232	4.56669925422704e-05	0.0245231749951992	0.00431034482758621
RNU6-495P	1	401	4.60036189444679e-05	0.0246119361352903	0.00249376558603491
RP11-110I1.14	1	433	4.61196082753856e-05	0.0246278708190559	0.0023094688221709
APOL6	1	278	4.7391446294176e-05	0.0252596408747958	0.00359712230215827
HMGB2P1	1	279	4.87220256213394e-05	0.0259201176305526	0.003584229390681
DTX1	2	1919	4.90876688212794e-05	0.0260655521440993	0.00104220948410631
LINC00862	1	250	5.02670374492586e-05	0.0266415298481071	0.004
CFB	1	411	5.19078046391508e-05	0.0274592286541108	0.0024330900243309
INTS6	1	1691	5.28555207597314e-05	0.0279077149611382	0.000591366055588409
IGLV7-46	1	276	5.29329402095824e-05	0.0279077149611382	0.0036231884057971
