FCRLB	10	350	0	0	0.0285714285714286
RP11-547C5.2	9	189	0	0	0.0476190476190476
AC019055.1	9	106	0	0	0.0849056603773585
CTF1	10	248	0	0	0.0403225806451613
CDH22	10	466	0	0	0.0214592274678112
ZNF560	10	66	0	0	0.151515151515152
AC006538.1	10	431	0	0	0.0232018561484919
CTC-543D15.3	10	66	0	0	0.151515151515152
RN7SL649P	9	443	3.33066907387547e-16	9.77218306275063e-13	0.0203160270880361
UCN	9	218	4.44089209850063e-16	1.30251365249023e-12	0.0412844036697248
RP11-443N24.2	9	160	7.7715611723761e-16	2.27862173574067e-12	0.05625
FAM13C	9	426	8.88178419700125e-16	2.60325094814107e-12	0.0211267605633803
PVRL4	9	542	1.11022302462516e-15	3.25295346215171e-12	0.0166051660516605
PCBP1-AS1	10	973	6.99440505513849e-15	2.04866124065006e-11	0.0102774922918808
TG	8	334	9.43689570931383e-15	2.76312306368709e-11	0.0239520958083832
OGG1	9	617	1.13242748511766e-14	3.31461524893939e-11	0.0145867098865478
ZNF184	10	467	2.02060590481778e-14	5.91229287749684e-11	0.0214132762312634
AC003991.3	9	416	2.83106871279415e-14	8.28087598492289e-11	0.0216346153846154
C11orf84	9	747	1.07469588783715e-13	3.14241077603583e-10	0.0120481927710843
PICK1	10	1516	1.18238752122579e-13	3.45611872454299e-10	0.00659630606860158
TTC28-AS1	12	2144	1.41886502547095e-13	4.14592360442612e-10	0.00559701492537313
SRI	9	599	2.59459120854899e-13	7.5788009201716e-10	0.015025041736227
N6AMT2	7	317	2.61013433089374e-13	7.62159224620973e-10	0.0220820189274448
AC079354.2	7	415	7.58948459633757e-13	2.21537055367094e-09	0.0168674698795181
CTD-2278I10.4	5	164	1.01474384450739e-12	2.96102253827257e-09	0.0304878048780488
LGALS13	5	151	1.0387246618393e-12	3.02995983858523e-09	0.033112582781457
RP11-471L13.3	5	86	1.14575016141316e-12	3.34100747068078e-09	0.0581395348837209
AC005777.3	7	740	4.00879329731652e-12	1.16856324616776e-08	0.00945945945945946
ADM5	8	1172	4.0822900615467e-12	1.18957932393471e-08	0.0068259385665529
CTD-2384A14.1	4	41	4.38538094726937e-12	1.27746146993957e-08	0.0975609756097561
SI	5	92	4.94859708766171e-12	1.44103147192709e-08	0.0543478260869565
PI4K2B	9	1122	7.00406399545273e-12	2.03888302907629e-08	0.00802139037433155
C14orf159	9	1508	9.65560964516499e-12	2.80978240674301e-08	0.00596816976127321
RP4-666F24.3	5	150	1.01089137061194e-11	2.94068299711014e-08	0.0333333333333333
RP11-677M14.2	10	1181	1.07435171869952e-11	3.1242147979782e-08	0.00846740050804403
SUMO1	7	585	1.14196430089919e-11	3.31969022271394e-08	0.011965811965812
AC012456.4	6	413	1.36070044121084e-11	3.9541954821587e-08	0.0145278450363196
DPH7	9	1801	1.46769263409396e-11	4.26364710204297e-08	0.00499722376457524
RP11-24D15.1	5	157	1.68911551412521e-11	4.9051914530196e-08	0.0318471337579618
RN7SL718P	5	211	2.5978108553204e-11	7.54144491299513e-08	0.023696682464455
EXOC3L4	11	3675	2.8115176853305e-11	8.15902432282911e-08	0.00299319727891156
NUP85	6	532	2.98315816493755e-11	8.65414183648383e-08	0.0112781954887218
P2RX7	5	308	3.16044967973994e-11	9.16530407124583e-08	0.0162337662337662
FLJ00418	7	1060	3.94734245290351e-11	1.14433457709673e-07	0.00660377358490566
DIP2A	10	1896	5.1033732795247e-11	1.47895757640626e-07	0.00527426160337553
D2HGDH	11	4050	9.80012737628044e-11	2.83909690090844e-07	0.00271604938271605
ASPH	9	797	1.02650443700725e-10	2.97275684957299e-07	0.0112923462986198
RP11-738B7.1	6	671	3.77513131866181e-10	1.09290051675259e-06	0.00894187779433681
C8orf58	8	2438	6.96325441751355e-10	2.01516582842842e-06	0.00328137817883511
ZNF812	5	271	7.03904823318169e-10	2.03639665385946e-06	0.018450184501845
RP11-388G22.1	4	168	7.40763117512699e-10	2.14228693584673e-06	0.0238095238095238
RP11-422J15.1	4	132	7.94501464618236e-10	2.29690373421132e-06	0.0303030303030303
RP11-519M16.1	4	132	7.94501464618236e-10	2.29690373421132e-06	0.0303030303030303
UBALD1	8	1866	9.15232334364191e-10	2.64410621397815e-06	0.00428724544480171
AC092850.1	5	303	1.08056985581584e-09	3.12068574359614e-06	0.0165016501650165
PRMT1	8	2144	1.11510389810832e-09	3.21930495383871e-06	0.00373134328358209
AC068538.4	4	230	1.18613485700081e-09	3.42318519730433e-06	0.0173913043478261
RPS6P20	5	329	1.41631328887115e-09	4.08606383839327e-06	0.0151975683890578
CTAGE3P	3	79	1.60893365297454e-09	4.64016465517858e-06	0.0379746835443038
ARID4A	8	1237	2.77032941031763e-09	7.98685968994572e-06	0.00646725949878739
