22041	10351	13449	9913	17894	16299	7345	12405	17275	19995	26503	11737	5947	9253	11087	9211	13150	23717	31399	11214	26370	31689	13049	25265	5570	10788	12897	7000	7461	23901	30070	12994	12664	13218	23970	8520	19406	27780	10446	20111	20470	28405	31504	15907	6246	13062	21528	9144	7900	6657	6692	5851	15810	20605	5415	16645	15057	18555	25382	15336	7446	12259	11644	19126
25414	11665	16724	13558	17617	15228	4694	13824	19617	19311	24896	13842	9134	10817	14323	13531	15475	19974	29014	13908	25338	25359	7821	24472	4212	6928	7769	4323	9178	22773	27670	16031	15340	11685	22668	11240	18077	22762	6584	18654	20022	22469	24170	14498	8147	11231	18767	10961	11132	8039	9259	9099	17339	19641	4133	18702	17082	17369	24324	16443	11070	14994	14459	25200
24465	11308	16803	16140	18014	13216	3586	13681	20321	16977	22172	14726	12143	11948	16621	18062	14552	17948	25617	16994	22098	20264	4941	23041	3123	3681	4901	4050	9749	20709	26395	19286	16722	10586	21376	12554	16885	17756	3983	17441	18973	17769	20763	14031	8855	11220	19421	13776	12977	8655	10400	13086	18115	19108	3245	21976	18821	17638	23700	20465	14371	18567	18186	31047
39822	15493	19420	21518	21038	13597	3506	16732	21274	16280	20082	15297	15192	13502	15517	19712	20152	18264	23514	16070	21791	15589	4625	19608	3331	4059	4468	3339	12415	19921	22671	17549	17848	10067	19296	11951	15412	15839	3853	15530	16281	15312	15106	12409	10002	9683	15976	12426	18431	11049	10703	14384	19758	16588	3213	20686	18276	14983	19452	17042	16958	17139	15590	33409
29171	12167	16763	14751	17539	15103	4107	14545	19834	18587	24069	14144	9671	11405	13935	14505	16495	19565	27774	13890	24575	21931	6548	24273	3936	5752	6451	4160	9806	23116	27677	16438	15391	11036	22701	11192	17692	21007	5610	18535	18998	20978	21600	14745	8157	11142	18737	12062	11796	8526	9396	9683	17918	19286	4034	19684	17552	17527	24201	17049	11767	15259	15979	28077
28742	11429	16194	16880	16235	13655	3754	14573	19385	16896	21947	15609	12113	11629	14291	18158	14884	17593	25127	14598	22153	19893	6103	22802	3702	5131	5963	4006	10095	21778	25757	18366	15416	10133	21517	12088	15980	19442	5121	17706	17664	19214	19626	13968	9568	10561	18785	13533	14202	9062	10999	12625	17834	17961	3824	20915	18403	17008	22937	18864	15112	16566	18379	35546
27586	12014	17523	14804	17706	14486	3795	14642	20701	18771	24500	14379	10058	11764	14903	14669	16262	18988	27874	14670	24398	22137	5771	23768	3605	4803	5939	3671	10012	22775	27501	16857	16052	11198	23037	12076	17536	20249	4864	18619	19979	20377	22179	14847	8313	11130	18940	11617	12027	8429	9917	9844	18154	19202	3588	20116	18078	17317	24763	17103	11834	15391	15917	25975
27180	11709	17205	16807	16515	13404	3035	14684	20070	16211	21591	16101	11865	12455	16168	18677	15335	16560	24581	16335	22069	18509	4342	22936	2954	3408	4178	3450	10346	20703	26316	19754	16843	10389	20908	13044	15609	17031	3456	17313	18257	16824	19256	14509	9847	11163	18689	14263	13543	8980	11279	12979	18618	18912	3157	22187	19903	16966	23821	19902	14723	18553	19419	34204
31773	13140	19285	21394	18387	11890	2667	15046	21590	14905	19071	15817	16277	13296	18915	22589	17382	14897	21508	18658	19352	14603	2963	19168	2396	2305	2933	3007	11837	18159	22222	21020	19158	9921	18010	13949	15311	12796	2501	15536	17131	13020	15250	12965	10592	10374	16923	15415	17279	10032	12580	17076	19395	16798	2510	23488	19921	15914	21111	21515	18261	20362	20401	36053
27468	12186	17816	16098	17488	14353	3663	14612	21320	18029	23022	15070	11150	12130	15937	16409	16204	18063	27059	16074	23411	20490	5122	22944	3388	4217	4884	3948	10056	21011	26067	17977	16904	11268	21967	12264	17740	18541	4106	17196	19028	18288	19528	14032	8937	11242	18730	13145	12992	8599	10599	11190	18761	18582	3546	20359	18667	17049	23442	19004	13237	16865	17429	29097
22867	11579	18249	15490	17417	13969	2971	14129	21689	17769	24150	14307	10777	12228	17053	15707	15790	17627	26591	16944	23537	22145	4157	24640	2662	3193	4066	3265	9870	22584	27480	19744	17412	11286	22836	12562	17460	17742	3193	18329	20725	17881	22693	14526	8094	11480	18915	12184	12116	7994	10239	10769	18539	20622	2865	22580	19020	17881	24916	18575	12377	18314	16944	24285
30000	13718	19672	16575	19695	15302	3570	15267	21730	18642	24239	14387	11581	12734	15586	15039	18706	19785	27445	15947	25283	21259	4926	23105	3279	4161	5099	3269	10797	21830	25771	17041	17562	11224	21933	11620	17572	18936	4116	17511	19483	18851	20383	13279	8428	10764	16663	11293	13697	9107	9948	10798	19332	19076	3196	19556	17848	16481	22275	16213	12744	15832	14797	24042
28688	12846	19158	17238	18253	13955	3158	14904	21942	17247	23380	15083	12268	12446	16622	17272	17466	17452	25849	16321	23166	19572	3985	22551	2941	3339	4088	2998	10810	20987	25359	18456	17672	11019	21611	12826	16920	17099	3436	16914	19334	17203	19509	14141	9133	10760	17991	12899	14104	8953	11034	12223	18749	18648	2787	21243	18910	16580	23210	18561	14103	17234	17290	28104
37042	14233	18718	20130	20149	13565	3404	16210	20848	16784	22131	15068	15211	12641	15677	18030	19096	18036	24812	15367	22122	18422	4817	21083	3198	4168	4734	3212	12134	20418	24255	16852	16990	10590	20424	11756	15956	17304	4049	16385	17403	17334	18226	13160	9983	10086	16340	11821	16995	10469	10877	14306	19084	17154	3042	19981	18311	15408	21032	16790	15319	16116	15268	29474
26643	11750	17429	15621	17541	13909	3489	14757	20415	17551	23993	14898	11353	11803	15666	15888	15600	18281	26796	15761	23472	21293	5206	23643	3208	4200	5295	3626	10030	22134	27100	17743	16415	10964	22299	11907	17196	19370	4275	18036	19425	19626	22522	14612	8924	10992	19293	12224	12785	8701	10333	11421	18229	19041	3359	20571	18537	17500	24376	18297	12933	16271	16651	26821
31436	12691	18510	17821	18598	14109	3103	15541	21191	17467	23101	15448	12925	12265	15701	17238	17447	17988	25850	15636	23153	19820	4514	22838	3090	3979	4465	2968	11529	21592	25051	17814	16731	10793	21529	12294	16182	18149	3871	16954	18284	17986	19167	13791	9487	10598	17102	12259	14844	9879	11318	12378	18988	18247	3014	20653	18783	15724	22494	17239	14478	16447	16386	29072
31619	12667	17977	18063	17232	13338	3198	15524	20508	16537	21855	15696	13345	12219	15505	18641	16544	16865	24285	15257	21399	17886	4702	22244	3292	4050	4708	3255	11165	20970	24891	18846	16914	10249	20938	12670	15610	17410	4159	16895	17772	17497	18315	14163	9970	10436	17967	13384	15249	9511	11397	13720	18710	17597	3246	21209	19198	15990	22869	18643	15397	17137	18337	33158
28908	12373	17535	17369	17365	13861	3338	15071	20549	17235	22263	15282	12657	11853	15521	18051	16294	17600	25608	15605	22914	19994	4900	22596	3110	4125	4871	3435	10842	21541	25704	18235	16669	10619	21084	12077	16215	18235	4159	17361	18141	18072	19693	13656	9240	10796	17752	13110	14314	9043	11101	13031	18613	18314	3144	21294	18649	16538	22735	18526	14750	17175	17471	31818
28980	12027	17502	15950	17436	14503	3234	15153	20718	17963	23778	15308	11502	11881	14367	16090	16492	18392	26654	14537	23425	21137	5342	24042	3449	4701	5097	3262	10884	22657	26585	17683	15999	10735	22628	11901	16662	19688	4566	17761	18738	19500	20407	14184	9104	10913	17709	12210	12988	9172	10983	11452	18552	18618	3367	20853	18359	16513	23547	17181	13105	15939	16939	28996
27465	11637	16428	14998	16887	14907	3271	15050	19814	18146	23974	15253	10720	11485	13962	15256	15826	18752	27100	13971	24135	22298	6045	24961	3462	5264	5818	3361	10737	23686	26997	17539	14970	10675	22662	11502	16545	20959	5133	18056	18337	20468	21151	14619	9164	10978	18432	11986	12267	9051	10997	10952	18082	19275	3456	20892	18195	16815	23632	17327	12646	15556	16579	29436
37256	13471	17380	19909	17709	13636	3065	16312	20368	16623	21350	16318	14941	12659	14756	19614	18053	16748	23840	14820	21672	15190	4889	20971	3476	4522	4797	3085	12189	20744	23682	16966	15829	9764	21221	12646	15335	17507	4499	16248	16855	17281	15273	13597	10754	9676	17084	13148	16878	10739	12218	14595	18745	16389	3427	20051	18761	15163	21586	17662	16546	15533	17649	36330
